,MHdays,Discrim2,Insecurity2,EthRace5_2022,BIPOCAI,Gender3,Gender2,TransGender
136,30,1,6,3,BIPOC/AI,2,MaleFemale,0
137,5,0,0,5,white,2,MaleFemale,0
138,8,0,2,5,white,2,MaleFemale,0
139,10,0,1,5,white,2,MaleFemale,0
140,5,0,3,5,white,2,MaleFemale,0
141,5,,8,5,white,2,MaleFemale,0
142,2,0,0,5,white,2,MaleFemale,0
143,8,0,1,5,white,1,MaleFemale,0
144,10,,5,5,white,2,MaleFemale,0
145,15,,2,5,white,2,MaleFemale,0
146,18,0,2,5,white,2,MaleFemale,0
147,12,0,5,5,white,1,MaleFemale,0
148,5,0,3,5,white,1,MaleFemale,0
149,3,0,1,5,white,3,AgenderNonbinaryGenderQueer,1
150,1,0,2,5,white,2,MaleFemale,0
151,10,0,0,3,BIPOC/AI,1,MaleFemale,0
152,20,0,9,2,BIPOC/AI,2,MaleFemale,0
153,3,0,2,5,white,1,MaleFemale,0
154,1,0,1,5,white,2,MaleFemale,0
155,20,,3,5,white,2,MaleFemale,0
156,2,0,2,5,white,3,AgenderNonbinaryGenderQueer,0
157,5,,4,3,BIPOC/AI,2,MaleFemale,0
158,3,0,2,4,BIPOC/AI,2,MaleFemale,0
159,1,,2,5,white,2,MaleFemale,0
160,3,,3,5,white,2,MaleFemale,0
161,2,,2,5,white,2,MaleFemale,0
162,2,0,2,5,white,2,MaleFemale,0
163,1,0,2,5,white,2,MaleFemale,0
164,8,,4,5,white,2,MaleFemale,0
165,4,0,4,5,white,2,MaleFemale,0
166,2,,1,5,white,2,MaleFemale,0
167,10,0,0,5,white,1,MaleFemale,0
168,25,0,4,5,white,2,MaleFemale,0
169,2,0,2,,BIPOC/AI,2,MaleFemale,0
170,3,,3,,BIPOC/AI,2,MaleFemale,0
171,1,0,4,5,white,1,MaleFemale,0
172,3,0,1,5,white,1,MaleFemale,0
173,1,,0,5,white,2,MaleFemale,0
174,1,0,1,5,white,1,MaleFemale,0
175,2,,2,5,white,2,MaleFemale,0
176,15,0,2,5,white,2,MaleFemale,0
177,20,0,0,5,white,1,MaleFemale,0
178,30,0,7,5,white,2,MaleFemale,0
179,2,,5,5,white,2,MaleFemale,0
181,2,0,6,5,white,2,MaleFemale,0
182,1,0,3,5,white,1,MaleFemale,0
183,4,0,0,5,white,1,MaleFemale,0
184,30,0,1,2,BIPOC/AI,1,MaleFemale,0
185,2,0,1,5,white,2,MaleFemale,0
186,5,0,2,5,white,2,MaleFemale,0
187,2,,3,5,white,1,MaleFemale,0
188,1,0,1,5,white,1,MaleFemale,0
189,2,0,2,5,white,2,MaleFemale,0
190,15,,,4,BIPOC/AI,2,MaleFemale,0
191,8,,5,5,white,2,MaleFemale,0
192,5,1,5,2,BIPOC/AI,2,MaleFemale,0
193,10,0,3,5,white,2,MaleFemale,0
194,2,0,1,5,white,2,MaleFemale,0
195,2,0,2,5,white,1,MaleFemale,0
196,5,,1,5,white,2,MaleFemale,0
197,3,0,1,5,white,1,MaleFemale,0
198,7,0,2,5,white,1,MaleFemale,0
199,10,0,2,5,white,2,MaleFemale,0
200,5,,4,1,BIPOC/AI,2,MaleFemale,0
201,20,0,2,5,white,2,MaleFemale,0
202,20,0,4,3,BIPOC/AI,2,MaleFemale,0
203,10,,0,5,white,2,MaleFemale,0
204,2,,4,5,white,2,MaleFemale,0
205,2,0,0,5,white,2,MaleFemale,0
206,1,,2,5,white,2,MaleFemale,0
207,4,0,4,5,white,1,MaleFemale,0
