 ,totalmomsthisphase,died7,numdied,morbid,duration,csection,complicbefore,anemia,pairname,arm,referredout,literacy,highincome,factype,distance,numstaff,supplies,meds,baage,balasttrained,balasttrainedln,baexperience,baexperienceln,batrained,batypes,bascheduledbin,baobc,nurseonlybin,anmonlybin,anydocbin,scheduled,obc,meangravidaln,complicbeforeln,anemialn,csectionln,age35plus,ageunder25,died0sbrbaseline,meangravida,lucknow,anymatmort
131,1286,0.057364341,57.36434109,0.150428683,271.3412698,0,0.090342679,0.015576324,P3-P36,1,0.120930233,0.563,0,1,20,3,21.8,3.4,36,1.5,0.405465108,11.14285714,2.410798678,0.285714286,2,0,0.571428571,1,0,0,0.369362364,0.395800933,0.781350216,-2.404145293,-4.162003211,-7.60090246,0.029733959,0.454616588,0.019623234,2.184419714,1,1
132,1297,0.066666667,66.66666667,0.135030864,191.4160584,0,0.049206349,0.031746032,P2-P5,1,0.153139357,0.563,0,2,11,4,21.6,3.2,29.66666667,4,1.386294361,4.333333333,1.466337069,0.666666667,1,1,0.666666667,1,0,1,0.3384734,0.457208944,0.812638159,-3.011732615,-3.449987546,-7.60090246,0.040310078,0.270542636,,2.253846154,1,1
133,1213,0.061324612,61.32461161,0.129644922,190.0401506,0,0.030025021,0.003336113,P2-P5,0,0.049877351,0.563,0,2,20,4,23.8,2.8,32.4,3.666666667,1.299282984,6.433333333,1.861492807,0.8,3,1,0.2,1,0,0,0.420445177,0.37510305,0.883557405,-3.505724217,-5.702948794,-7.60090246,0.029686175,0.332485157,,2.419491525,1,1
134,931,0.062699256,62.69925611,0.149462366,243.7312073,0,0.029032258,0.020430108,P3-P32,0,0.062699256,0.563,0,2,18,3,21.2,3.2,39.88888889,3.8,1.335001067,15.88888889,2.765620053,0.625,4,1,0.333333333,1,0,1,0.396348013,0.450053706,0.87933096,-3.53934772,-3.890745607,-7.60090246,0.021857923,0.326775956,0.019573978,2.409287257,1,1
141,645,0.043410853,43.41085271,0.086956522,220.3360656,0,0.001607717,0,P2-P12,1,0.061823802,0.583,0,2,30,5,20.2,1.8,47.83333333,3,1.098612289,22.16666667,3.098589659,0.333333333,4,0,0.333333333,0,1,0,0.255813953,0.437209302,0.779888834,-6.432940093,-7.60090246,-7.60090246,0.040310078,0.443410853,0.01659751,2.181229773,1,1
142,1228,0.05811138,58.11138015,0.140179299,248.063388,0,0.026058632,0.021986971,P2-P7,1,0.110573043,0.583,0,3,42,6,19.8,1.2,39.25,2,0.693147181,8.333333333,2.120263536,0.25,3,0,0.5,1,0,0,0.321661238,0.438110749,0.813745342,-3.647406206,-3.817305243,-7.60090246,0.005342832,0.366874443,0.043782837,2.256342957,1,1
143,1311,0.052352049,52.35204856,0.079328757,339.5979463,0,0.001545595,0.000772798,P2-P9,1,0.021228203,0.583,0,1,19,3,21.4,2,44.6,1.5,0.405465108,21.2,3.054001182,0.4,4,0,0.4,0,1,0,0.257055683,0.256292906,0.752517476,-6.472346295,-7.165493475,-7.60090246,0.005339436,0.377574371,0.016517225,2.122336227,1,0
150,1452,0.067901235,67.90123457,0.126468556,184.2313625,0,0.006915629,0.004149378,P2-P11,0,0.024691358,0.568,0,1,50,5,18.6,2,32.66666667,,,5.666666667,1.734601055,0,1,0,0.666666667,1,0,1,0.533057851,0.320936639,0.899071856,-4.97397131,-5.484796933,-7.60090246,0.060041408,0.327122153,,2.457321305,1,1
151,1419,0.059440559,59.44055944,0.144467935,242.8227961,0,0.017655367,0.014124294,P2-P8,0,0.059440559,0.568,0,1,30,5,19.4,2.2,37,9,2.197224577,7.883333333,2.064750826,0.2,4,1,0.6,1,0,0,0.388575458,0.415373766,0.665319961,-4.036715449,-4.259859001,-7.60090246,0.025843503,0.407035176,0.017556693,1.945112782,1,0
152,1280,0.053488372,53.48837209,0.153605016,247.8437936,0,0.019215372,0.002401922,P2-P11,1,0.054263566,0.568,0,1,60,5,21.2,2.6,38.8,4,1.386294361,9.8,2.282382386,0.4,2,0,1,1,0,0,0.2703125,0.459375,0.920886984,-3.95204468,-6.031486221,-7.60090246,0.039093041,0.345582486,,2.511517077,1,1
153,1838,0.048622366,48.62236629,0.094175286,170.9716914,0,0.000552181,0,P2-P7,0,0.007563479,0.568,0,3,45,5,19,2,36,5,1.609437912,7,1.945910149,0.1,3,1,0.4,0,0,1,0.519586507,0.276387378,0.797546752,-7.501634458,-7.60090246,-7.60090246,0.013601741,0.395538629,0.001036269,2.220087816,1,0
154,1460,0.049626105,49.62610469,0.120962199,240.5349265,0,0.038594073,0.022742936,P2-P14,1,0.036029912,0.568,0,2,35,3,19,1.6,33.2,3,1.098612289,5.2,1.648658626,0.4,3,0,0.4,1,0,1,0.392465753,0.305479452,0.847603718,-3.254656562,-3.783500691,-7.60090246,0.022649279,0.415236788,0.019230769,2.334047109,1,1
156,1174,0.064189189,64.18918919,0.119453925,214.6328556,0,0.011073254,0,P2-P14,0,0.0092827,0.568,0,2,32,3,19,2,40,3,1.098612289,12.95238095,2.561279629,0.333333333,4,1,0.428571429,0,0,1,0.329642249,0.462521295,0.784730359,-4.503222643,-7.60090246,-7.60090246,0.030742955,0.437233134,0.001910828,2.191815857,1,1
161,845,0.04,40,0.105325444,167.4928479,0,0.052631579,0.005980861,P3-P34,1,0.094117647,0.568,0,1,22,5,24,4,34.75,,,4.75,1.558144618,0,1,1,0.75,1,0,0,0.386982249,0.481656805,0.887160062,-2.944438979,-5.119190701,-7.60090246,0.022485207,0.398816568,0.021777003,2.428223844,1,0
162,702,0.105932203,105.9322034,0.204285714,167.805638,0,0.005698006,0.002849003,P3-P37,0,0.036723164,0.568,0,1,42,5,20,3,34.8,6,1.791759469,8.6,2.151762203,0.4,2,1,0.8,0,0,1,0.297720798,0.585470085,0.858637019,-5.167639043,-5.860786223,-7.60090246,0.007132668,0.350927247,0.020128088,2.359941945,1,1
163,949,0.052687039,52.68703899,0.197257384,232.6139169,0,0.016859852,0,P3-P36,0,0.050526316,0.568,0,1,54,4,21,4,37,6,1.791759469,11.25,2.420368129,0.125,4,1,0.5,1,0,1,0.322444679,0.552160169,0.751864254,-4.082820076,-7.60090246,-7.60090246,0.03907075,0.417106653,0.01459854,2.120950324,1,1
164,709,0.044692737,44.69273743,0.090267983,272.5542348,0,0.012711864,0.004237288,P3-P34,0,0.023743017,0.568,0,1,14,5,21,3.6,35.75,,,4.5,1.504077397,0.25,3,0,0.5,1,0,1,0.274011299,0.601694915,0.832473624,-4.365219516,-5.463831805,-7.60090246,0.011283498,0.527503526,0.011818182,2.298998569,1,0
165,510,0.035087719,35.0877193,0.154901961,328.9896694,0,0.023575639,0.001964637,P3-P37,1,0.038986355,0.568,0,1,55,5,24,3.6,34.5,5.5,1.704748092,9.166666667,2.215573716,0.333333333,4,1,0.333333333,0,0,0,0.349019608,0.482352941,0.729766809,-3.747541367,-6.232448017,-7.60090246,0.021611002,0.412573674,0.015306122,2.074596774,1,0
200,1727,0.078690408,78.69040781,0.180974478,176.3907692,0,0.006395349,0.002906977,P2-P1,1,0.039586919,0.532,0,1,18,5,22.8,3,35.83333333,4.75,1.558144618,5.583333333,1.71978597,0.666666667,1,0,0.833333333,1,0,1,0.535031847,0.306890562,0.916290732,-5.052184297,-5.840641657,-7.60090246,0.04342791,0.347423277,,2.5,1,1
201,1609,0.038936959,38.93695921,0.148631841,256.4864489,0,0.022401991,0.009956441,P2-P3,0,0.064894932,0.532,0,2,55,6,23.4,4,31.4,4,1.386294361,3.9,1.360976553,0.2,1,1,0.8,1,0,1,0.321317589,0.515226849,0.931860057,-3.798605427,-4.609535643,-7.60090246,0.0373599,0.346201743,0.014931087,2.539227895,1,1
202,1874,0.074406332,74.40633245,0.207043757,168.6767338,0,0.022945571,0.003201708,P2-P4,1,0.044831224,0.532,0,2,32,4,22,3.2,29.8,8,2.079441542,4.583333333,1.522426535,0.2,3,0,0.6,1,0,1,0.163820704,0.681963714,0.81886066,-3.774630347,-5.744070994,-7.60090246,0.028815368,0.420490928,0.027993779,2.267914439,1,0
203,1251,0.088959492,88.95949166,0.199840128,171.2375737,0,0.001602564,0.00400641,P2-P15,0,0.029318542,0.532,0,2,50,4,21.6,3.6,38.5,7.5,2.014903021,8.833333333,2.178532444,0.333333333,3,1,0.833333333,1,0,0,0.353317346,0.440447642,0.868986274,-6.436150368,-5.519859636,-7.60090246,0.04340836,0.3914791,0.023639362,2.384492406,1,0
205,1346,0.045722714,45.72271386,0.157503715,239.7003257,0.039304611,0.05423477,0.006686478,P2-P15,1,0.024336283,0.532,0,3,30,3,26.4,3.6,38.83333333,9,2.197224577,7.333333333,1.992430165,0.166666667,3,1,0.5,0,0,1,0.252600297,0.584695394,0.928925608,-2.914433069,-5.007667933,-3.236413446,0.049777117,0.343982169,0.021006351,2.531787584,1,0
210,2207,0.091235955,91.23595506,0.24568574,271.9764223,0,0.078196872,0.009199632,P2-P2,1,0.159478886,0.504,0,2,15,4,24.2,3.8,36.5,3,1.098612289,4,1.386294361,0.25,1,1,0.5,1,0,0,0.370185773,0.236973267,0.890462016,-2.548525631,-4.688591794,-7.60090246,0.014527845,0.451331719,0.023118958,2.43625498,1,1
212,2166,0.06608536,66.08536026,0.166512488,137.7083333,0.002872188,0.034674064,0.013869626,P2-P3,1,0.043577982,0.504,0,3,35,7,23.6,3.8,34.875,6.666666667,1.897119985,10.25,2.327277706,0.375,3,1,0.125,1,0,1,0.317636196,0.374422899,0.811727728,-3.361763312,-4.278054044,-5.852681292,0.012115564,0.356011184,0.019614591,2.251795117,1,1
213,1227,0.096122779,96.12277868,0.328711256,217.4310662,0,0.07101569,0.007431874,P2-P2,0,0.085621971,0.504,0,2,45,5,23.2,3.6,29.25,4,1.386294361,3.75,1.32175584,0.25,1,1,0.5,1,0,1,0.224123879,0.388753056,0.980359218,-2.644854447,-4.901977166,-7.60090246,0.036440678,0.331355932,0.023517382,2.665413534,1,1
220,2159,0.053743684,53.74368397,0.234447539,214.5585805,0,0.015769944,0.006957328,P2-P4,0,0.029830197,0.507,0,2,25,3,23.6,4,34.625,3,1.098612289,10.73809524,2.373797721,0.142857143,4,1,0.285714286,1,0,0,0.388605836,0.454840204,0.968506822,-4.149649407,-4.967959731,-7.60090246,0.099721707,0.310296846,0.023864511,2.634008479,1,1
223,1306,0.065498858,65.49885758,0.293169609,303.2290196,0,0.005372218,0.00076746,P2-P1,0,0.01980198,0.507,0,1,34,5,23.2,3.8,35.57142857,3,1.098612289,5.44047619,1.693866592,0.142857143,4,1,0.571428571,1,0,0,0.450229709,0.477794793,1.008580413,-5.226514428,-7.172424577,-7.60090246,0.026033691,0.296324655,0.036439355,2.741706161,1,1
300,1340,0.063703704,63.7037037,0.114179104,171.9823213,0.002245509,0.003731343,0,P3-P44,1,0.007407407,0.609,0,2,14,3,23,3.2,44.33333333,3,1.098612289,14.33333333,2.662587827,1,1,1,0,1,0,1,0.435820896,0.420895522,,-5.590986981,-7.60090246,-6.098823065,0.011940299,0.296268657,0.028337875,,0,0
301,1573,0.04045512,40.4551201,0.116973935,135.3895232,0,0.001907184,0,P3-P50,1,0.006321113,0.609,0,2,32,3,19,1.8,43.8,4.75,1.558144618,12.6,2.533696814,0.8,1,1,0.4,1,0,0,0.356643357,0.567705022,0.865695226,-6.262127614,-7.60090246,-7.60090246,0.010171647,0.214876033,,2.376657825,0,0
302,1503,0.033046927,33.04692664,0.070525615,206.4849521,0,0.006662225,0.006662225,P3-P44,0,0.018506279,0.609,0,2,29,4,20.8,1.4,44.4,6.5,1.871802177,15.4,2.734367509,0.8,2,1,0.2,1,0,1,0.262491672,0.610926049,0.761942209,-5.011301739,-5.011301739,-7.60090246,0.010666667,0.324666667,0.007391304,2.142433234,0,0
303,846,0.036384977,36.38497653,0.089834515,173.0781441,0,0.005938242,0.001187648,P3-P48,0,0.022274326,0.609,0,1,25,4,18.8,2,42.75,3.666666667,1.299282984,14.5,2.674148649,0.75,4,0,0.75,1,0,0,0.239904988,0.657957245,0.928975891,-5.126342102,-6.735780014,-7.60090246,0.027348395,0.258026159,0.017621145,2.531914894,0,0
304,866,0.014772727,14.77272727,0.078612717,160.5905707,0,0.011682243,0.014018692,P3-P50,0,0.05,0.609,0,2,32,3,22.6,2.8,46.75,5.333333333,1.673976434,14,2.63905733,0.75,2,1,0.5,1,0,1,0.481524249,0.43187067,0.858108776,-4.449685283,-4.267363726,-7.60090246,0.005780347,0.313294798,,2.358695652,0,1
305,939,0.038297872,38.29787234,0.114072495,227.1809211,0,0.001064963,0.003194888,P3-P48,1,0.021276596,0.609,0,1,25,4,20.6,2.2,37.33333333,4.5,1.504077397,7.333333333,1.992430165,0.666666667,4,1,0.333333333,1,0,0,0.474973376,0.448349308,0.896479576,-6.844815479,-5.746203191,-7.60090246,0.012793177,0.307036247,,2.450959488,0,1
306,808,0.03945746,39.45745993,0.08539604,246.2846252,0,0,0.001240695,P3-P46,0,0.030788177,0.609,0,2,55,3,19.4,2,45.33333333,6.333333333,1.84582669,19,2.944438979,1,2,0,0.333333333,1,0,1,0.311881188,0.580445545,0.85156909,-7.60090246,-6.692083743,-7.60090246,0.003712871,0.378712871,0.02739726,2.343320849,0,0
307,1160,0.0361135,36.11349957,0.090517241,229.1363636,0,0.002586207,0.000862069,P3-P41,1,0.012037833,0.609,0,1,12,3,22,2.4,42,3,1.098612289,13,2.564949357,0.4,2,0,0.6,1,0,0,0.442241379,0.49137931,0.864418901,-5.957562995,-7.056175284,-7.60090246,0.012068966,0.313793103,0.042310822,2.373626374,0,0
308,1038,0.028790787,28.79078695,0.149325626,134.1517857,0,0,0.000963391,P3-P41,0,0.007677543,0.609,0,1,14,4,20.6,2.4,40,2.333333333,0.84729786,14.75,2.691243083,0.75,2,0,0.75,1,0,1,0.442196532,0.478805395,0.877718457,-7.60090246,-6.945051064,-7.60090246,0.038535645,0.242774566,0.01588785,2.405405405,0,0
320,893,0.041111111,41.11111111,0.078387458,193.1766082,0,0.017917133,0.005599104,P3-P45,0,0.071111111,0.598,0,2,42,5,22.4,3,31,7,1.945910149,5,1.609437912,0.333333333,1,1,0.666666667,1,0,1,0.409854423,0.478163494,0.875468737,-4.021997859,-5.185148668,-7.60090246,0.011198208,0.362821948,0.014839242,2.4,0,0
321,1857,0.047517352,47.51735184,0.101293103,274.6946652,0,0.009803922,0.006535948,P3-P1,1,0.07367859,0.598,0,1,15,5,23,3,31.25,3,1.098612289,5.5,1.704748092,1,3,0,0.25,1,0,0,0.290791599,0.522347873,0.786721894,-4.624972813,-5.030437921,-7.60090246,0.013491635,0.527792768,,2.196185286,0,0
322,518,0.017307692,17.30769231,0.084942085,244.5160643,0,0.006802721,0.004535147,P3-P15,1,0.025,0.598,0,1,15,5,18.333333,2.666666,34,4,1.386294361,4.2,1.435084525,0.2,2,0,0.4,0,0,0,0.332046332,0.517374517,0.896127961,-4.990432587,-5.395897695,-7.60090246,0.017509728,0.387159533,0.012313105,2.450097847,0,0
323,2696,0.04501845,45.01845018,0.075723831,163.9389961,0,0.010401189,0.005572065,P3-P39,1,0.029520295,0.598,0,1,16,5,22,2.6,41.75,2,0.693147181,16.75,2.818398258,0.75,2,0,0,0,0,1,0.372213967,0.531946508,0.785548469,-4.565835181,-5.18998949,-7.60090246,0.004455997,0.471221686,,2.193609738,0,1
324,1118,0.023152271,23.1522707,0.055505819,201.5591296,0.00280112,0.036738351,0.010752688,P3-P40,0,0.059661621,0.598,0,3,30,5,20.8,1.8,37.5,3,1.098612289,11.5,2.442347035,1,1,1,0.25,1,0,1,0.33034915,0.493285586,0.784738115,-3.303934076,-4.532599493,-5.877735782,0.010733453,0.470483005,0.011332974,2.191832858,0,1
325,1252,0.058260176,58.26017558,0.116092874,175.8789916,0,0.025661588,0.009623095,P3-P28,1,0.077414206,0.598,0,1,31,5,18,1.4,34.5,4,1.386294361,6,1.791759469,0.25,3,0,0.25,0,0,0,0.286741214,0.532747604,0.873001,-3.662760043,-4.643589296,-7.60090246,0.019184652,0.278976819,0.007887818,2.394084732,0,1
326,1198,0.04662781,46.62781016,0.124477861,222.2382609,0,0.010860485,0.004177109,P3-P24,0,0.028309742,0.598,0,2,41,3,22.6,3.2,30.66666667,,,2.666666667,0.980829253,0,1,1,0.333333333,0,0,0,0.368113523,0.439899833,0.857215297,-4.522624348,-5.478135793,-7.60090246,0.001670844,0.360066834,,2.356589147,0,1
327,1328,0.033008252,33.00825206,0.071698113,212.4557557,0,0.008352316,0.00531511,P3-P2,1,0.112528132,0.598,0,2,28,5,23.6,3,45.8,8,2.079441542,9.2,2.219203484,0.4,3,1,0.4,0,0,1,0.323795181,0.417921687,0.832113187,-4.785216429,-5.237201553,-7.60090246,0.009870919,0.314350797,0.018796992,2.298170075,0,1
328,1498,0.028552457,28.55245684,0.081441923,256.3407049,0,0.01138647,0.003348962,P3-P51,1,0.051792829,0.598,0,1,50,5,22,2.6,29,1,0,3.666666667,1.299282984,1,1,1,0.333333333,1,0,1,0.343353373,0.456245825,0.889484518,-4.475329453,-5.699104885,-7.60090246,0.005416385,0.373053487,0.009005321,2.43387471,0,0
329,1205,0.042183623,42.18362283,0.123754153,144.8434477,0,0.02076412,0.009136213,P3-P2,0,0.071133168,0.598,0,2,25,5,17.4,2.2,36.5,4,1.386294361,17,2.833213344,0.5,4,1,0,0,1,0,0.272878536,0.484193012,0.787147281,-3.874528801,-4.695509353,-7.60090246,0.010016694,0.428213689,0.015274949,2.197119712,0,1
330,950,0.036420395,36.42039542,0.130526316,213.1328904,0,0.006322445,0.009483667,P3-P28,0,0.040582726,0.598,0,1,34,5,21.8,2.4,36,6.25,1.832581464,10,2.302585093,1,2,1,0,1,0,0,0.388421053,0.421052632,0.839676702,-5.063649329,-4.658184221,-7.60090246,0.00955414,0.487261146,0.022155086,2.315618221,0,0
331,737,0.039030956,39.03095559,0.069199457,187.1792717,0.023129252,,,P3-P16,0,0.025572005,0.598,0,2,40,3,19.2,1.6,39.16666667,,,8.083333333,2.089804329,0,3,1,0.333333333,0,0,1,,,,,,-3.766657155,0.027137042,0.310719132,0.025673941,,0,0
332,1468,0.044624746,44.62474645,0.09400545,175.3768217,0,0.023874488,0,P3-P23,0,0.043272481,0.598,0,1,27,5,17.4,1,34.8,5,1.609437912,10.2,2.32238772,0.4,2,1,0.6,0,0,1,0.256987048,0.541240627,0.890990619,-3.734944821,-7.60090246,-7.60090246,0.040245566,0.077080491,0.022236341,2.437543133,0,0
333,1915,0.034805195,34.80519481,0.065865133,204.5549009,0,0.00522466,0.003657262,P3-P24,1,0.019220779,0.598,0,2,48,4,21.6,2.2,37,8,2.079441542,7,1.945910149,0.666666667,1,1,0.333333333,0,0,1,0.265274151,0.463707572,0.762448646,-5.254365479,-5.611040423,-7.60090246,0.005750131,0.427600627,0.011673152,2.143518519,0,1
