 ,totalmomsthisphase,died7,numdied,morbid,duration,csection,complicbefore,anemia,pairname,arm,referredout,literacy,highincome,factype,distance,numstaff,supplies,meds,baage,balasttrained,balasttrainedln,baexperience,baexperienceln,batrained,batypes,bascheduledbin,baobc,nurseonlybin,anmonlybin,anydocbin,scheduled,obc,meangravidaln,complicbeforeln,anemialn,csectionln,age35plus,ageunder25,died0sbrbaseline,meangravida,lucknow,anymatmort
414,1201,0.033085194,33.08519438,0.080766028,243.7370766,0,0.025201613,0.003024194,P3-P5,1,0.042183623,0.562,0,2,30,3,24,3.8,41,2,0.693147181,16.75,2.818398258,0.75,2,0,0.5,1,0,0,0.212323064,0.470441299,0.875322656,-3.680847282,-5.801110819,-7.60090246,0.064113239,0.334721066,0.026117237,2.39964943,0,0
415,1539,0.040723982,40.7239819,0.104098894,135.8898551,0,0.046314416,0.028049576,P3-P27,1,0.095022624,0.562,0,1,19,4,24.2,3.4,34,4.333333333,1.466337069,10.375,2.339399066,0.75,2,1,0.25,1,0,0,0.285714286,0.501630789,0.924464578,-3.072302002,-3.573781763,-7.60090246,0.024041585,0.303443795,0.006944444,2.520518359,0,1
420,1632,0.031668697,31.66869671,0.15398773,330.1639344,0,0.002452483,0.001226242,P3-P14,0,0.048112058,0.594,0,2,60,3,16.6,2.2,44,3,1.098612289,13,2.564949357,0.333333333,2,0,0.666666667,0,1,1,0.322501533,0.511342735,1.137576889,-6.010654242,-6.703801422,-7.60090246,0.01044226,0.384520885,0.013852814,3.119201031,0,1
421,1851,0.066416711,66.4167113,0.096320346,155.8679131,0,0.022813688,0.004888647,P3-P47,0,0.089983931,0.594,0,1,22,4,20.4,3.2,35.66666667,2,0.693147181,6.166666667,1.819158443,0.333333333,1,0,0.666666667,1,0,0,0.186925986,0.482441923,0.762765101,-3.780394563,-5.320839604,-7.60090246,0.005411255,0.403679654,0.012863268,2.144196952,0,1
422,1213,0.047658176,47.65817584,0.111294312,227.7666963,0,0.034624897,0.006595218,P3-P38,1,0.05505341,0.594,0,2,30,6,21.6,3,34.25,3,1.098612289,5,1.609437912,0.25,1,1,0.75,0,0,1,0.239076669,0.676009893,0.799369394,-3.363182291,-5.021410367,-7.60090246,0.007431874,0.511973576,0.017804154,2.224137931,0,0
423,846,0.044496487,44.49648712,0.086595492,230.5238693,0,0.024822695,0.010638298,P3-P45,1,0.055035129,0.594,0,2,60,6,19.4,2.2,44.28571429,3,1.098612289,14,2.63905733,0.428571429,1,1,0.285714286,1,0,0,0.361702128,0.557919622,0.798626032,-3.695996922,-4.543294782,-7.60090246,0.020094563,0.394799054,0.0203125,2.222485207,0,1
424,1907,0.054945055,54.94505495,0.088807147,125.0383315,0,0.05715784,0.018877819,P3-P39,0,0.100470958,0.594,0,1,18,4,20.8,2.8,42.75,3,1.098612289,17.5,2.862200881,0.25,1,0,0.75,1,0,0,0.239643419,0.551651809,0.81637582,-2.861938723,-3.969767667,-7.60090246,0.005771249,0.492654774,0.009878904,2.26228603,0,1
425,1644,0.051932367,51.93236715,0.095790116,143.6309751,0,0.016443362,0.004872107,P3-P51,0,0.077898551,0.594,0,1,32,4,22.2,3.8,31.5,3.5,1.252762968,5.75,1.749199855,0.5,2,0,0.25,1,0,1,0.378345499,0.5,0.768251124,-4.107833424,-5.324228748,-7.60090246,0.006097561,0.357317073,0.019043401,2.155992391,0,1
426,1424,0.025087108,25.08710801,0.081460674,108.4363767,0.008438819,0.02247191,0.000702247,P3-P40,1,0.005574913,0.594,0,3,20,5,24.4,3.6,44.6,,,16,2.772588722,0,2,0,0.8,1,0,1,0.345505618,0.492275281,0.776964088,-3.795489189,-7.261225092,-4.774912961,0.007032349,0.461322082,0.010677809,2.174859551,0,0
427,1013,0.047151277,47.15127701,0.119683482,209.7036224,0,0.043435341,0.001974334,P3-P1,0,0.106967615,0.594,0,1,15,6,20.6,3.4,42.75,,,17.5,2.862200881,0,2,0,0.5,0,1,1,0.194471866,0.586377098,0.80018197,-3.13648187,-6.227524324,-7.60090246,0.007928642,0.340931615,0.019180471,2.225945946,0,1
